,,validdate,t_2m:C,relative_humidity_2m:p,uv:idx,precip_1h:mm
Rio Branco,81,2020-03-22T00:00:00Z,-2.4,71.5,0,0.0
Rio Branco,82,2020-03-23T00:00:00Z,-1.4,83.4,0,0.29
Rio Branco,83,2020-03-24T00:00:00Z,-3.3,84.8,0,0.02
Rio Branco,84,2020-03-25T00:00:00Z,-4.5,51.5,0,0.04
Rio Branco,85,2020-03-26T00:00:00Z,-2.6,72.6,0,0.45
Rio Branco,86,2020-03-27T00:00:00Z,-2.2,84.3,0,0.13
Rio Branco,87,2020-03-28T00:00:00Z,-2.1,67.0,0,0.02
Rio Branco,88,2020-03-29T00:00:00Z,-3.1,79.2,0,0.0
Rio Branco,89,2020-03-30T00:00:00Z,-1.7,69.3,0,0.01
Rio Branco,90,2020-03-31T00:00:00Z,-1.8,74.4,0,0.01
Rio Branco,91,2020-04-01T00:00:00Z,-3.2,61.1,0,0.0
Rio Branco,92,2020-04-02T00:00:00Z,-3.9,61.4,0,0.02
Rio Branco,93,2020-04-03T00:00:00Z,-3.5,63.7,0,0.01
Rio Branco,94,2020-04-04T00:00:00Z,-3.9,76.2,0,0.0
Rio Branco,95,2020-04-05T00:00:00Z,-2.4,72.3,0,0.27
Rio Branco,96,2020-04-06T00:00:00Z,-0.1,95.1,0,0.65
Rio Branco,97,2020-04-07T00:00:00Z,-0.5,96.2,0,0.33
Rio Branco,98,2020-04-08T00:00:00Z,-2.6,82.2,0,0.02
Rio Branco,99,2020-04-09T00:00:00Z,-1.2,84.0,0,0.01
Rio Branco,100,2020-04-10T00:00:00Z,-2.0,87.0,0,0.05
Rio Branco,101,2020-04-11T00:00:00Z,-5.7,73.4,0,0.03
Rio Branco,102,2020-04-12T00:00:00Z,-2.7,87.3,0,0.09
Rio Branco,103,2020-04-13T00:00:00Z,-3.3,59.5,0,0.0
Rio Branco,104,2020-04-14T00:00:00Z,-2.6,86.6,0,0.1
Rio Branco,105,2020-04-15T00:00:00Z,-3.7,89.6,0,0.05
Rio Branco,106,2020-04-16T00:00:00Z,-4.0,82.3,0,0.05
Rio Branco,107,2020-04-17T00:00:00Z,-3.4,87.9,0,0.01
Rio Branco,108,2020-04-18T00:00:00Z,-7.8,77.5,0,0.01
Rio Branco,109,2020-04-19T00:00:00Z,-4.9,70.8,0,0.02
Rio Branco,110,2020-04-20T00:00:00Z,-2.2,87.6,0,0.63
Rio Branco,111,2020-04-21T00:00:00Z,-4.3,58.4,0,0.05
Rio Branco,112,2020-04-22T00:00:00Z,-4.0,77.5,0,0.58
Rio Branco,113,2020-04-23T00:00:00Z,-2.2,61.4,0,0.04
Rio Branco,114,2020-04-24T00:00:00Z,-0.8,92.9,0,0.05
